stimulus,category,seed,block,epoch,pred_A,pred_B
5,A,1,8,3,0.8913256,0.108674444
6,A,1,8,3,0.9192931,0.08070693
7,A,1,8,3,0.5110026,0.48899764
8,B,1,8,3,0.09696908,0.903031
9,B,1,8,3,0.102864705,0.8971354
10,B,1,8,3,0.1028647,0.8971354
11,B,1,8,3,0.10286471,0.8971354
12,B,1,8,3,0.10867445,0.8913256
13,B,1,8,3,0.08070693,0.9192931
14,B,1,8,3,0.48899764,0.51100254
1,A,1,9,3,0.9076632,0.09233685
2,A,1,9,3,0.9017408,0.09825935
3,A,1,9,3,0.9017408,0.098259345
4,A,1,9,3,0.90174073,0.09825935
5,A,1,9,3,0.89586097,0.10413902
6,A,1,9,3,0.92447126,0.07552876
7,A,1,9,3,0.5121752,0.4878248
8,B,1,9,3,0.09233685,0.9076632
9,B,1,9,3,0.098259345,0.9017408
10,B,1,9,3,0.098259345,0.9017408
11,B,1,9,3,0.098259345,0.9017408
12,B,1,9,3,0.10413904,0.89586097
13,B,1,9,3,0.07552877,0.92447126
14,B,1,9,3,0.48782474,0.5121753
1,A,1,10,3,0.9114605,0.0885396
2,A,1,10,3,0.9055169,0.09448303
3,A,1,10,3,0.9055169,0.09448303
4,A,1,10,3,0.9055169,0.09448305
5,A,1,10,3,0.8995799,0.100420035
6,A,1,10,3,0.92871714,0.07128284
7,A,1,10,3,0.5131434,0.4868566
8,B,1,10,3,0.088539615,0.9114605
9,B,1,10,3,0.09448303,0.9055169
10,B,1,10,3,0.09448303,0.9055169
11,B,1,10,3,0.09448303,0.9055169
12,B,1,10,3,0.100420065,0.8995799
13,B,1,10,3,0.07128285,0.92871714
14,B,1,10,3,0.48685658,0.51314354
1,A,1,1,4,0.74442786,0.25557208
2,A,1,1,4,0.7408646,0.2591355
3,A,1,1,4,0.7408646,0.2591355
4,A,1,1,4,0.7408646,0.2591355
5,A,1,1,4,0.7427728,0.25722712
6,A,1,1,4,0.73928577,0.26071423
7,A,1,1,4,0.4742584,0.5257417
8,B,1,1,4,0.25692362,0.74307626
9,B,1,1,4,0.25948676,0.74051327
10,B,1,1,4,0.25948676,0.74051327
11,B,1,1,4,0.25948676,0.74051327
12,B,1,1,4,0.25682887,0.74317116
13,B,1,1,4,0.27337733,0.72662264
14,B,1,1,4,0.52198523,0.4780146
1,A,1,2,4,0.81195635,0.18804373
2,A,1,2,4,0.8069111,0.19308878
3,A,1,2,4,0.8069111,0.19308877
4,A,1,2,4,0.8069111,0.19308878
5,A,1,2,4,0.8156813,0.18431866
6,A,1,2,4,0.8069112,0.19308878
7,A,1,2,4,0.49018198,0.50981796
8,B,1,2,4,0.18804373,0.8119563
9,B,1,2,4,0.19308878,0.8069111
10,B,1,2,4,0.19308878,0.8069111
11,B,1,2,4,0.19308878,0.8069111
12,B,1,2,4,0.18431866,0.8156813
13,B,1,2,4,0.1930888,0.8069111
14,B,1,2,4,0.509818,0.49018192
1,A,1,3,4,0.84582984,0.15417029
2,A,1,3,4,0.8403943,0.1596058
3,A,1,3,4,0.8403943,0.1596058
4,A,1,3,4,0.8403943,0.1596058
5,A,1,3,4,0.8530115,0.1469886
6,A,1,3,4,0.8403943,0.1596058
7,A,1,3,4,0.4973965,0.50260353
8,B,1,3,4,0.15417029,0.84582984
9,B,1,3,4,0.15960582,0.84039426
10,B,1,3,4,0.1596058,0.84039426
11,B,1,3,4,0.1596058,0.84039426
12,B,1,3,4,0.14698862,0.8530115
13,B,1,3,4,0.1596058,0.84039426
14,B,1,3,4,0.50260353,0.49739656
1,A,1,4,4,0.8662895,0.13371056
2,A,1,4,4,0.86066127,0.13933863
3,A,1,4,4,0.86066127,0.13933863
4,A,1,4,4,0.86066127,0.13933863
5,A,1,4,4,0.8756324,0.12436765
6,A,1,4,4,0.8606612,0.13933863
7,A,1,4,4,0.5020909,0.49790922
8,B,1,4,4,0.13371058,0.8662895
9,B,1,4,4,0.13933863,0.8606612
10,B,1,4,4,0.13933863,0.8606612
11,B,1,4,4,0.13933863,0.8606612
12,B,1,4,4,0.124367654,0.8756324
13,B,1,4,4,0.13933863,0.8606612
14,B,1,4,4,0.49790922,0.5020908
1,A,1,5,4,0.88000613,0.11999387
2,A,1,5,4,0.87426674,0.12573329
3,A,1,5,4,0.87426674,0.1257333
4,A,1,5,4,0.87426674,0.1257333
5,A,1,5,4,0.8908231,0.109176934
6,A,1,5,4,0.87426674,0.1257333
7,A,1,5,4,0.50536346,0.49463657
8,B,1,5,4,0.11999388,0.88000613
9,B,1,5,4,0.1257333,0.87426674
10,B,1,5,4,0.1257333,0.87426674
11,B,1,5,4,0.1257333,0.87426674
12,B,1,5,4,0.109176934,0.8908231
13,B,1,5,4,0.1257333,0.87426674
14,B,1,5,4,0.49463657,0.50536346
1,A,1,6,4,0.8898472,0.110152744
2,A,1,6,4,0.88403654,0.11596359
3,A,1,6,4,0.88403654,0.1159636
4,A,1,6,4,0.88403654,0.11596361
5,A,1,6,4,0.9017325,0.09826741
6,A,1,6,4,0.8840365,0.11596362
7,A,1,6,4,0.50776875,0.4922313
8,B,1,6,4,0.110152744,0.8898472
9,B,1,6,4,0.11596359,0.88403654
10,B,1,6,4,0.115963586,0.88403654
11,B,1,6,4,0.11596359,0.88403654
12,B,1,6,4,0.09826741,0.9017325
13,B,1,6,4,0.115963586,0.88403654
14,B,1,6,4,0.49223125,0.5077688
1,A,1,7,4,0.89725405,0.10274605
2,A,1,7,4,0.89139396,0.10860604
3,A,1,7,4,0.891394,0.10860603
4,A,1,7,4,0.89139396,0.10860604
5,A,1,7,4,0.9099489,0.09005118
6,A,1,7,4,0.891394,0.10860604
7,A,1,7,4,0.50960886,0.4903909
8,B,1,7,4,0.10274605,0.89725405
9,B,1,7,4,0.10860603,0.891394
10,B,1,7,4,0.10860603,0.891394
11,B,1,7,4,0.10860603,0.891394
12,B,1,7,4,0.09005118,0.9099489
13,B,1,7,4,0.108606026,0.891394
14,B,1,7,4,0.49039087,0.50960904
1,A,1,8,4,0.903031,0.09696907
2,A,1,8,4,0.89713544,0.10286469
3,A,1,8,4,0.89713544,0.10286469
4,A,1,8,4,0.89713544,0.1028647
5,A,1,8,4,0.91636026,0.083639756
6,A,1,8,4,0.89713544,0.10286469
7,A,1,8,4,0.5110617,0.48893836
8,B,1,8,4,0.096969076,0.903031
9,B,1,8,4,0.10286469,0.89713544
10,B,1,8,4,0.10286469,0.89713544
11,B,1,8,4,0.10286469,0.89713544
12,B,1,8,4,0.08363977,0.91636026
13,B,1,8,4,0.102864675,0.89713544
14,B,1,8,4,0.4889384,0.5110617
1,A,1,9,4,0.9076632,0.09233685
2,A,1,9,4,0.9017408,0.098259345
3,A,1,9,4,0.9017408,0.098259345
4,A,1,9,4,0.9017408,0.098259345
5,A,1,9,4,0.921503,0.078496985
6,A,1,9,4,0.9017408,0.09825935
7,A,1,9,4,0.5122371,0.48776302
8,B,1,9,4,0.092336856,0.90766317
9,B,1,9,4,0.098259345,0.9017408
10,B,1,9,4,0.098259345,0.9017408
11,B,1,9,4,0.098259345,0.9017408
12,B,1,9,4,0.078496985,0.92150295
