seed,epoch,block,concept,fan_size,fact,prob
1,3,3,c2,2,f2,0.818778395652771
1,3,3,c2,2,f3,0.06491590291261673
1,3,3,c3,4,f4,0.05712246894836426
1,3,3,c3,4,f5,0.10683824867010117
1,3,3,c3,4,f6,0.613494873046875
1,3,3,c3,4,f7,0.05712246894836426
1,3,4,c1,1,f1,0.5760653018951416
1,3,4,c2,2,f2,0.8347200751304626
1,3,4,c2,2,f3,0.06278776377439499
1,3,4,c3,4,f4,0.05569276958703995
1,3,4,c3,4,f5,0.10608437657356262
1,3,4,c3,4,f6,0.6214213371276855
1,3,4,c3,4,f7,0.05569276958703995
1,3,5,c1,1,f1,0.5799140334129333
1,3,5,c2,2,f2,0.843673825263977
1,3,5,c2,2,f3,0.06162026897072792
1,3,5,c3,4,f4,0.054853908717632294
1,3,5,c3,4,f5,0.10565757006406784
1,3,5,c3,4,f6,0.6260566115379333
1,3,5,c3,4,f7,0.054853908717632294
1,3,6,c1,1,f1,0.5824556350708008
1,3,6,c2,2,f2,0.8732218146324158
1,3,6,c2,2,f3,0.05691525340080261
1,3,6,c3,4,f4,0.05430440604686737
1,3,6,c3,4,f5,0.10538369417190552
1,3,6,c3,4,f6,0.629086971282959
1,3,6,c3,4,f7,0.05430440604686737
1,3,7,c1,1,f1,0.5842581391334534
1,3,7,c2,2,f2,0.8774389028549194
1,3,7,c2,2,f3,0.056370992213487625
1,3,7,c3,4,f4,0.05390677973628044
1,3,7,c3,4,f5,0.10519156605005264
1,3,7,c3,4,f6,0.6312747001647949
1,3,7,c3,4,f7,0.05390677973628044
1,3,8,c1,1,f1,0.5856011509895325
1,3,8,c2,2,f2,0.8805429935455322
1,3,8,c2,2,f3,0.055973514914512634
1,3,8,c3,4,f4,0.05360998958349228
1,3,8,c3,4,f5,0.10505006462335587
1,3,8,c3,4,f6,0.6329054832458496
1,3,8,c3,4,f7,0.05360998958349228
1,3,9,c1,1,f1,0.5866448879241943
1,3,9,c2,2,f2,0.8829239010810852
1,3,9,c2,2,f3,0.055670469999313354
1,3,9,c3,4,f4,0.053380053490400314
1,3,9,c3,4,f5,0.1049414724111557
1,3,9,c3,4,f6,0.6341680884361267
1,3,9,c3,4,f7,0.053380053490400314
1,3,10,c1,1,f1,0.5874761939048767
1,3,10,c2,2,f2,0.8848083019256592
1,3,10,c2,2,f3,0.05543176829814911
1,3,10,c3,4,f4,0.053196631371974945
1,3,10,c3,4,f5,0.10485560446977615
1,3,10,c3,4,f6,0.6351743936538696
1,3,10,c3,4,f7,0.053196631371974945
1,3,11,c1,1,f1,0.5881536602973938
1,3,11,c2,2,f2,0.8863370418548584
1,3,11,c2,2,f3,0.05523889511823654
1,3,11,c3,4,f4,0.05304696038365364
1,3,11,c3,4,f5,0.10478594899177551
1,3,11,c3,4,f6,0.6359952092170715
1,3,11,c3,4,f7,0.05304696038365364
1,3,12,c1,1,f1,0.588715672492981
1,3,12,c2,2,f2,0.8876021504402161
1,3,12,c2,2,f3,0.05507977679371834
1,3,12,c3,4,f4,0.0529220774769783
1,3,12,c3,4,f5,0.10472826659679413
1,3,12,c3,4,f6,0.6366796493530273
1,3,12,c3,4,f7,0.0529220774769783
1,4,1,c1,1,f1,0.4214106500148773
1,4,1,c2,2,f2,0.5503979921340942
1,4,1,c2,2,f3,0.17881080508232117
1,4,1,c3,4,f4,0.28205806016921997
1,4,1,c3,4,f5,0.13719193637371063
1,4,1,c3,4,f6,0.2901465594768524
1,4,1,c3,4,f7,0.10667186975479126
1,4,2,c1,1,f1,0.4270162284374237
1,4,2,c2,2,f2,0.8008452653884888
1,4,2,c2,2,f3,0.06691019237041473
1,4,2,c3,4,f4,0.10157863050699234
1,4,2,c3,4,f5,0.13252946734428406
1,4,2,c3,4,f6,0.38849934935569763
1,4,2,c3,4,f7,0.131520614027977
1,4,3,c1,1,f1,0.43226897716522217
1,4,3,c2,2,f2,0.8407557010650635
1,4,3,c2,2,f3,0.06126604229211807
1,4,3,c3,4,f4,0.10404857248067856
1,4,3,c3,4,f5,0.10351485013961792
1,4,3,c3,4,f6,0.4035143256187439
1,4,3,c3,4,f7,0.13553723692893982
1,4,4,c1,1,f1,0.434974730014801
1,4,4,c2,2,f2,0.8577321171760559
1,4,4,c2,2,f3,0.0589626170694828
1,4,4,c3,4,f4,0.10347571969032288
1,4,4,c3,4,f5,0.10306666046380997
1,4,4,c3,4,f6,0.405943363904953
1,4,4,c3,4,f7,0.13579189777374268
1,4,5,c1,1,f1,0.43662387132644653
1,4,5,c2,2,f2,0.8672113418579102
1,4,5,c2,2,f3,0.05770603567361832
1,4,5,c3,4,f4,0.10312306880950928
1,4,5,c3,4,f5,0.10279140621423721
1,4,5,c3,4,f6,0.40743309259414673
1,4,5,c3,4,f7,0.1359565705060959
1,4,6,c1,1,f1,0.43773841857910156
1,4,6,c2,2,f2,0.897063672542572
1,4,6,c2,2,f3,0.05294913798570633
1,4,6,c3,4,f4,0.10288440436124802
1,4,6,c3,4,f5,0.10260552167892456
1,4,6,c3,4,f6,0.40843725204467773
1,4,6,c3,4,f7,0.13607092201709747
1,4,7,c1,1,f1,0.4385512173175812
1,4,7,c2,2,f2,0.9014981389045715
1,4,7,c2,2,f3,0.05236804857850075
1,4,7,c3,4,f4,0.10271306335926056
1,4,7,c3,4,f5,0.1024724692106247
1,4,7,c3,4,f6,0.40915289521217346
1,4,7,c3,4,f7,0.1361534148454666
1,4,8,c1,1,f1,0.4391613006591797
1,4,8,c2,2,f2,0.9289112091064453
1,4,8,c2,2,f3,0.04791838675737381
1,4,8,c3,4,f4,0.10258413851261139
1,4,8,c3,4,f5,0.10237262398004532
