seed,code,club,freq,distance_to_111,recog_score,p_club1,p_club1_raw,p_club2_raw,tag
3,232,2,1,3,-3.0798353195873136,0.2645206350827043,0.21133956823441463,0.5876134819438363,Other
3,322,2,1,3,-2.988933731237196,0.24931169400746114,0.20553352197589034,0.6188703343860954,Other
3,233,2,1,3,-2.956192329369298,0.2904022225375664,0.2306836093857585,0.5636753571883257,Other
3,323,2,1,3,-3.2112350375878376,0.3713383433421382,0.289451122761739,0.49002971446235777,Other
3,332,2,1,3,-3.238269390633947,0.3034314227898712,0.23379656355673945,0.5367121774534016,Other
3,132,Either,10,2,-1.4221231031738357,0.37799639118984035,0.338824045532839,0.5575444210186634,Other
3,321,Either,10,2,-1.490704618361585,0.5709723361736484,0.5036411085376796,0.3784350913581214,Other
3,213,Either,10,2,-1.3984477293214812,0.2943801887673327,0.26536657558251475,0.6360751168550519,Other
3,231,Either,0,2,-3.43926097071585,0.5495398849552318,0.42694032388184017,0.3499647481069216,Other
3,123,Either,0,2,-3.6362251029966255,0.2796497418488232,0.21071817993217545,0.54278932749148,Other
3,312,Either,0,2,-3.4577682991178342,0.508042486143646,0.41198632373894084,0.39894255519433425,Other
3,111,1,0,0,-3.2370789754580893,0.8626619797882842,0.7116168530482898,0.11329124504934038,Prototype
3,222,2,0,3,-3.325026272734645,0.1588373528907825,0.1271791708032563,0.6735088820296655,Other
3,333,Either,0,3,-3.6677611352952724,0.36726761365377214,0.27364174142368,0.47143277985345483,Other
3,444,Neither,0,3,-3.825542290070173,0.5288396720596273,0.11735578590100036,0.104556056385613,Other
3,411,Neither,1,1,-2.99925494155011,0.7856372372794985,0.38025196599840394,0.10375254391400665,Other
3,422,Neither,1,3,-3.26991677046114,0.2295460367439471,0.1284204913859292,0.43103369570238487,Other
3,141,Neither,1,1,-2.769244964788219,0.7151773413524016,0.3041154790770155,0.12111538534317516,Other
3,242,Neither,1,3,-3.2156838710063913,0.2215570358689901,0.12205620885596903,0.42884576713969574,Other
3,114,Neither,1,1,-2.870451019961883,0.7613311589210466,0.3617633497835631,0.11340878200761656,Other
3,224,Neither,1,3,-2.9060170021154996,0.33109674653632015,0.1578436341705311,0.3188860100249192,Other
3,441,Neither,1,2,-3.0784828007711287,0.43763876783175815,0.1220003327940188,0.1567691496228577,Other
3,442,Neither,1,3,-2.9948644606906125,0.4308749523817262,0.11645768330560513,0.1538241761106077,Other
3,144,Neither,1,2,-3.158067657081911,0.6024885324945634,0.16208209261826131,0.10693894907222741,Other
3,244,Neither,1,3,-2.6623471374076613,0.3719479283690683,0.09862134663538033,0.16652691502538236,Other
3,414,Neither,1,2,-2.733591674996092,0.5814724976808839,0.15171674359147988,0.10920143258465813,Other
3,424,Neither,1,3,-2.5025645634215197,0.4407948940216577,0.11128929090033628,0.14118480172122722,Other
3,134,Neither,1,2,-2.934221007185205,0.434127523592242,0.2274481854238359,0.2964720294056402,Other
3,234,Neither,1,3,-2.986877223017258,0.5010754157905547,0.1842165539342036,0.18342581711200348,Other
3,413,Neither,1,2,-3.010704566733005,0.47218513849463384,0.2547689119030506,0.2847840962989345,Other
3,423,Neither,1,3,-3.5149540096965164,0.3465062133349733,0.15357466721456173,0.2896343180918534,Other
3,341,Neither,1,2,-2.900593708114068,0.5668204493521801,0.28801854117855097,0.22011157570013212,Other
3,342,Neither,1,3,-2.880053335624523,0.4199404877687859,0.15480127834602633,0.21382542675809793,Other
3,124,Neither,1,2,-3.056865894420902,0.5185311570314136,0.31105501241872663,0.28882217567449014,Other
3,214,Neither,1,2,-3.0235938517541854,0.362656094766702,0.2242449642735034,0.39409557242080206,Other
3,412,Neither,1,2,-2.9215578216882596,0.5080261610521661,0.2877408430200801,0.2786489712842539,Other
3,421,Neither,1,2,-3.0430437166928845,0.5267149823976741,0.35004147173134686,0.31453326684531796,Other
3,241,Neither,1,2,-2.922702479650709,0.5169414747870185,0.29515170281727315,0.27580597268917867,Other
