experiment,subject,stimulus_id,type,correct_cat,p_correct,choice,accuracy,p_A
Exp2,14,Stim5,Old,A,0.6367356871058862,A,1,0.6367356871058862
Exp2,14,Stim1,New,A,0.5364282142894563,A,1,0.5364282142894563
Exp2,14,Stim4,Old,A,0.616407586420912,A,1,0.616407586420912
Exp2,14,Stim15,Old,A,0.7171941549884034,A,1,0.7171941549884034
Exp2,14,Stim11,New,A,0.5384297386535787,A,1,0.5384297386535787
Exp2,14,Stim16,New,B,0.6564150416799122,B,1,0.3435849583200878
Exp2,14,Stim7,Old,A,0.6804606844424046,A,1,0.6804606844424046
Exp2,14,Stim12,Old,B,0.5416734310464062,B,1,0.45832656895359386
Exp2,14,Stim6,New,A,0.7225836658557875,A,1,0.7225836658557875
Exp2,15,Stim2,Old,B,0.5745979467967912,B,1,0.42540205320320884
Exp2,15,Stim14,Old,B,0.7817424351503008,B,1,0.2182575648496991
Exp2,15,Stim9,New,A,0.4717718711335617,B,0,0.4717718711335617
Exp2,15,Stim6,New,A,0.7566905987109134,A,1,0.7566905987109134
Exp2,15,Stim7,Old,A,0.7555560665876128,A,1,0.7555560665876128
Exp2,15,Stim1,New,A,0.48811828241191374,B,0,0.48811828241191374
Exp2,15,Stim15,Old,A,0.7470088105681306,A,1,0.7470088105681306
Exp2,15,Stim10,Old,B,0.7418552657446773,B,1,0.2581447342553227
Exp2,15,Stim8,New,B,0.5222693319200754,B,1,0.4777306680799246
Exp2,15,Stim4,Old,A,0.7372462581824585,A,1,0.7372462581824585
Exp2,15,Stim11,New,A,0.48172954896883785,B,0,0.48172954896883785
Exp2,15,Stim5,Old,A,0.5975477233574361,A,1,0.5975477233574361
Exp2,15,Stim13,Old,A,0.6801082207821908,A,1,0.6801082207821908
Exp2,15,Stim3,New,B,0.5094509469611341,B,1,0.4905490530388658
Exp2,15,Stim16,New,B,0.6711924455392833,B,1,0.3288075544607168
Exp2,15,Stim12,Old,B,0.5301127824382751,B,1,0.4698872175617249
Exp2,16,Stim6,New,A,0.7360141221605959,A,1,0.7360141221605959
Exp2,16,Stim11,New,A,0.6028324148231772,A,1,0.6028324148231772
Exp2,16,Stim13,Old,A,0.6586822464637061,A,1,0.6586822464637061
Exp2,16,Stim8,New,B,0.5167822541780465,B,1,0.48321774582195354
Exp2,16,Stim3,New,B,0.5070415492472318,B,1,0.49295845075276823
Exp2,16,Stim12,Old,B,0.5284587765112632,B,1,0.4715412234887369
Exp2,16,Stim10,Old,B,0.690079305207423,B,1,0.309920694792577
Exp2,16,Stim2,Old,B,0.5653169269758211,B,1,0.4346830730241789
Exp2,16,Stim16,New,B,0.6776907582298393,B,1,0.32230924177016074
Exp2,16,Stim14,Old,B,0.6113031591721747,B,1,0.3886968408278253
Exp2,16,Stim4,Old,A,0.6044487156138572,A,1,0.6044487156138572
Exp2,16,Stim7,Old,A,0.6738315563044314,A,1,0.6738315563044314
Exp2,16,Stim15,Old,A,0.7424854330297488,A,1,0.7424854330297488
Exp2,16,Stim5,Old,A,0.6353262577610878,A,1,0.6353262577610878
Exp2,16,Stim1,New,A,0.6104038410802106,A,1,0.6104038410802106
Exp2,16,Stim9,New,A,0.5144561054968474,A,1,0.5144561054968474
Exp2,17,Stim1,New,A,0.5357396574334059,A,1,0.5357396574334059
Exp2,17,Stim6,New,A,0.726044339617062,A,1,0.726044339617062
Exp2,17,Stim16,New,B,0.6503907754309755,B,1,0.3496092245690246
Exp2,17,Stim15,Old,A,0.7097588720587499,A,1,0.7097588720587499
Exp2,17,Stim10,Old,B,0.7009188797819632,B,1,0.2990811202180368
Exp2,17,Stim3,New,B,0.5181846477749363,B,1,0.4818153522250636
Exp2,17,Stim2,Old,B,0.5381001034166748,B,1,0.4618998965833252
Exp2,17,Stim7,Old,A,0.6859068641216636,A,1,0.6859068641216636
Exp2,17,Stim4,Old,A,0.6214282709397638,A,1,0.6214282709397638
Exp2,17,Stim9,New,A,0.5187090274574746,A,1,0.5187090274574746
Exp2,17,Stim12,Old,B,0.5381001034166748,B,1,0.4618998965833252
Exp2,17,Stim8,New,B,0.5181846477749363,B,1,0.4818153522250636
Exp2,17,Stim5,Old,A,0.6437223932875825,A,1,0.6437223932875825
Exp2,17,Stim14,Old,B,0.6768344076806039,B,1,0.3231655923193962
Exp2,17,Stim11,New,A,0.5357396574334059,A,1,0.5357396574334059
Exp2,17,Stim13,Old,A,0.6437223932875825,A,1,0.6437223932875825
Exp2,18,Stim11,New,A,0.5297547936011644,A,1,0.5297547936011644
Exp2,18,Stim13,Old,A,0.6628209183105204,A,1,0.6628209183105204
Exp2,18,Stim7,Old,A,0.7225271965600808,A,1,0.7225271965600808
Exp2,18,Stim2,Old,B,0.5405820222397757,B,1,0.45941797776022436
Exp2,18,Stim15,Old,A,0.7328996524646971,A,1,0.7328996524646971
Exp2,18,Stim6,New,A,0.7425761003837933,A,1,0.7425761003837933
Exp2,18,Stim16,New,B,0.6780676283126176,B,1,0.3219323716873824
Exp2,18,Stim3,New,B,0.5257936441473305,B,1,0.4742063558526694
Exp2,18,Stim14,Old,B,0.7194771988309268,B,1,0.28052280116907324
Exp2,18,Stim10,Old,B,0.7160309332884078,B,1,0.2839690667115922
Exp2,18,Stim9,New,A,0.4774721438081107,B,0,0.4774721438081107
Exp2,18,Stim12,Old,B,0.5618511698668689,B,1,0.43814883013313116
Exp2,18,Stim5,Old,A,0.6494252280673963,A,1,0.6494252280673963
Exp2,18,Stim4,Old,A,0.6253493256368302,A,1,0.6253493256368302
Exp2,18,Stim1,New,A,0.5315845250833964,A,1,0.5315845250833964
Exp2,18,Stim8,New,B,0.5130012732541449,B,1,0.4869987267458551
Exp2,19,Stim14,Old,B,0.704648593733127,B,1,0.295351406266873
Exp2,19,Stim1,New,A,0.5521709094042869,A,1,0.5521709094042869
Exp2,19,Stim9,New,A,0.5238164058359976,A,1,0.5238164058359976
Exp2,19,Stim15,Old,A,0.7667227633426108,A,1,0.7667227633426108
Exp2,19,Stim3,New,B,0.5317472350142756,B,1,0.4682527649857244
Exp2,19,Stim5,Old,A,0.6443921473371558,A,1,0.6443921473371558
Exp2,19,Stim6,New,A,0.7344096374818067,A,1,0.7344096374818067
Exp2,19,Stim4,Old,A,0.6263637130665408,A,1,0.6263637130665408
Exp2,19,Stim10,Old,B,0.76014381713627,B,1,0.23985618286373006
Exp2,19,Stim13,Old,A,0.6523115713527367,A,1,0.6523115713527367
Exp2,19,Stim2,Old,B,0.592146579578194,B,1,0.40785342042180595
Exp2,19,Stim7,Old,A,0.7286564394548298,A,1,0.7286564394548298
Exp2,19,Stim12,Old,B,0.5412246328319508,B,1,0.4587753671680492
Exp2,19,Stim16,New,B,0.684293318791378,B,1,0.315706681208622
Exp2,19,Stim11,New,A,0.5486520992007784,A,1,0.5486520992007784
Exp2,19,Stim8,New,B,0.544509186548076,B,1,0.455490813451924
Exp2,20,Stim15,Old,A,0.7662160240770036,A,1,0.7662160240770036
Exp2,20,Stim2,Old,B,0.5703097176707836,B,1,0.4296902823292163
Exp2,20,Stim3,New,B,0.49745054216100304,A,0,0.502549457838997
Exp2,20,Stim12,Old,B,0.5802947763887505,B,1,0.41970522361124957
Exp2,20,Stim5,Old,A,0.6269586376071221,A,1,0.6269586376071221
Exp2,20,Stim16,New,B,0.6890706225037193,B,1,0.31092937749628063
Exp2,20,Stim1,New,A,0.5411020207670956,A,1,0.5411020207670956
Exp2,20,Stim14,Old,B,0.7267695007369319,B,1,0.273230499263068
Exp2,20,Stim6,New,A,0.7497645424679347,A,1,0.7497645424679347
Exp2,20,Stim10,Old,B,0.7319443321864654,B,1,0.2680556678135346
Exp2,20,Stim9,New,A,0.49107529523817534,B,0,0.49107529523817534
Exp2,20,Stim11,New,A,0.545667644999281,A,1,0.545667644999281
Exp2,20,Stim4,Old,A,0.6626625541565163,A,1,0.6626625541565163
Exp2,20,Stim13,Old,A,0.6602423511644206,A,1,0.6602423511644206
Exp2,20,Stim7,Old,A,0.7731665716418005,A,1,0.7731665716418005
Exp2,20,Stim8,New,B,0.484950273434002,A,0,0.515049726565998
Exp2,21,Stim10,Old,B,0.7006225667757966,B,1,0.29937743322420335
Exp2,21,Stim3,New,B,0.5240122552162017,B,1,0.4759877447837983
Exp2,21,Stim4,Old,A,0.5838877585990532,A,1,0.5838877585990532
Exp2,21,Stim9,New,A,0.4898289027003424,B,0,0.4898289027003424
Exp2,21,Stim8,New,B,0.5475596284628523,B,1,0.4524403715371476
Exp2,21,Stim13,Old,A,0.616414142244943,A,1,0.616414142244943
Exp2,21,Stim5,Old,A,0.6135560958011185,A,1,0.6135560958011185
Exp2,21,Stim6,New,A,0.6993733829819814,A,1,0.6993733829819814
Exp2,21,Stim15,Old,A,0.7146403869931398,A,1,0.7146403869931398
Exp2,21,Stim2,Old,B,0.5412302237823452,B,1,0.4587697762176548
Exp2,21,Stim1,New,A,0.53872792923939,A,1,0.53872792923939
Exp2,21,Stim11,New,A,0.5189604018054036,A,1,0.5189604018054036
