structure,seed,epoch,block,accuracy,pred_share_B
correlated,12469,3,2,1.0,0.5058378383580919
correlated,12469,3,3,1.0,0.5071206487788483
correlated,12469,3,4,1.0,0.5079202666179645
correlated,12469,3,5,1.0,0.5084577089735914
correlated,12469,3,6,1.0,0.5088418791264201
correlated,12469,3,7,1.0,0.5091295850200276
correlated,12469,3,8,1.0,0.5093528884523604
correlated,12469,3,9,1.0,0.5095311417225564
correlated,12469,3,10,1.0,0.5096766822531058
correlated,12469,3,11,1.0,0.5097977339149548
correlated,12469,3,12,1.0,0.5098999841968023
correlated,12469,3,13,1.0,0.5099874896094377
correlated,12469,3,14,1.0,0.510063220115052
correlated,12469,3,15,1.0,0.5101293993711538
correlated,12469,4,1,1.0,0.5
correlated,12469,4,2,1.0,0.5
correlated,12469,4,3,1.0,0.5
correlated,12469,4,4,1.0,0.5
correlated,12469,4,5,1.0,0.5
correlated,12469,4,6,1.0,0.5
correlated,12469,4,7,1.0,0.49999999999999994
correlated,12469,4,8,1.0,0.5
correlated,12469,4,9,1.0,0.5
correlated,12469,4,10,1.0,0.5
correlated,12469,4,11,1.0,0.5
correlated,12469,4,12,1.0,0.5
correlated,12469,4,13,1.0,0.49999999999999994
correlated,12469,4,14,1.0,0.5
correlated,12469,4,15,1.0,0.5
